,Unnamed: 0,MSSubClass,MSZoning,LotArea,Street,Alley,LandContour,LotConfig,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,Fence,MiscVal,MoSold,YrSold,SaleCondition,SalePrice,LogSale,SaleTypeNew,PoolQCNon,HasGarage,GarageCond*GarageQual,Fireplaces*FireplaceQu,ElectricalSBr,HeatingGas,HasBasement,BsmtCond*BsmtQual,ExterCond*ExterQual,LandSlopeGtl,LotShapeReg,OverallQual*OverallCond,GarageYrBltSq,LotAreaBins,Has2ndFlr,TotalBsmtSFNegSq,GarageAreaBins,GrLivAreaNegSq,HasWoodDeck,HasOpenPorch,HasEnclosedPorch,Has3SsnPorch,HasScreenPorch
10,10,20,RL,11200,Pave,None,Lvl,Inside,Sawyer,Norm,1Fam,1Story,5,5,1965,1965,Hip,HdBoard,None,0.0,3,3,CBlock,3,3,0,Rec,906,134,1040,5,1,1040,0,1040,1,0,1,0,3,1,3,5,Typ,0,0,Detchd,1965.0,Unf,1,384,3,3,Y,0,0,0,0,0,None,0,2,2008,Normal,129500,11.771436160121727,0,1,1,9,0,1,1,1,9,9,1,1,25,3861225.0,<15000,0,-1081600,<600,-1081600,0,0,0,0,0
11,11,60,RL,11924,Pave,None,Lvl,Inside,NridgHt,Norm,1Fam,2Story,9,5,2005,2006,Hip,WdShing,Stone,286.0,5,3,PConc,5,3,0,GLQ,998,177,1175,5,1,1182,1142,2324,1,0,3,0,4,1,5,11,Typ,2,4,BuiltIn,2005.0,Fin,3,736,3,3,Y,147,21,0,0,0,None,0,7,2006,Partial,345000,12.751299696013493,1,1,1,9,8,1,1,1,15,15,1,0,45,4020025.0,<15000,1,-1380625,<900,-5400976,1,1,0,0,0
12,12,20,RL,12968,Pave,None,Lvl,Inside,Sawyer,Norm,1Fam,1Story,5,6,1962,1962,Hip,HdBoard,None,0.0,3,3,CBlock,3,3,0,ALQ,737,175,912,3,1,912,0,912,1,0,1,0,2,1,3,4,Typ,0,0,Detchd,1962.0,Unf,1,352,3,3,Y,140,0,0,0,176,None,0,9,2008,Normal,144000,11.877568578558137,0,1,1,9,0,1,1,1,9,9,1,0,30,3849444.0,<15000,0,-831744,<600,-831744,1,0,0,0,1
13,13,20,RL,10652,Pave,None,Lvl,Inside,CollgCr,Norm,1Fam,1Story,7,5,2006,2007,Gable,VinylSd,Stone,306.0,4,3,PConc,4,3,2,Unf,0,1494,1494,5,1,1494,0,1494,0,0,2,0,3,1,4,7,Typ,1,4,Attchd,2006.0,RFn,3,840,3,3,Y,160,33,0,0,0,None,0,8,2007,Partial,279500,12.540757571577293,1,1,1,9,4,1,1,1,12,12,1,0,35,4024036.0,<15000,0,-2232036,<900,-2232036,1,1,0,0,0
14,14,20,RL,10920,Pave,None,Lvl,Corner,NAmes,Norm,1Fam,1Story,6,5,1960,1960,Hip,MetalSd,BrkFace,212.0,3,3,CBlock,3,3,0,BLQ,733,520,1253,3,1,1253,0,1253,1,0,1,1,2,1,3,5,Typ,1,2,Attchd,1960.0,RFn,1,352,3,3,Y,0,213,176,0,0,GdWo,0,5,2008,Normal,157000,11.964001084330445,0,1,1,9,2,1,1,1,9,9,1,0,30,3841600.0,<15000,0,-1570009,<600,-1570009,0,1,1,0,0
15,15,45,RM,6120,Pave,None,Lvl,Corner,BrkSide,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,Wd Sdng,None,0.0,3,3,BrkTil,3,3,0,Unf,0,832,832,5,1,854,0,854,0,0,1,0,2,1,3,5,Typ,0,0,Detchd,1991.0,Unf,2,576,3,3,Y,48,112,0,0,0,GdPrv,0,7,2007,Normal,132000,11.790557201568507,0,1,1,9,0,0,1,1,9,9,1,1,56,3964081.0,<10000,0,-692224,<600,-729316,1,1,0,0,0
16,16,20,RL,11241,Pave,None,Lvl,CulDSac,NAmes,Norm,1Fam,1Story,6,7,1970,1970,Gable,Wd Sdng,BrkFace,180.0,3,3,CBlock,3,3,0,ALQ,578,426,1004,5,1,1004,0,1004,1,0,1,0,2,1,3,5,Typ,1,3,Attchd,1970.0,Fin,2,480,3,3,Y,0,0,0,0,0,None,700,3,2010,Normal,149000,11.911701584927595,0,1,1,9,3,1,1,1,9,9,1,0,42,3880900.0,<15000,0,-1008016,<600,-1008016,0,0,0,0,0
17,17,90,RL,10791,Pave,None,Lvl,Inside,Sawyer,Norm,Duplex,1Story,4,5,1967,1967,Gable,MetalSd,None,0.0,3,3,Slab,0,0,0,None,0,0,0,3,1,1296,0,1296,0,0,2,0,2,2,3,6,Typ,0,0,CarPort,1967.0,Unf,2,516,3,3,Y,0,0,0,0,0,None,500,10,2006,Normal,90000,11.407564949312404,0,1,1,9,0,1,1,0,0,9,1,1,20,3869089.0,<15000,0,0,<600,-1679616,0,0,0,0,0
18,18,20,RL,13695,Pave,None,Lvl,Inside,SawyerW,RR,1Fam,1Story,5,5,2004,2004,Gable,VinylSd,None,0.0,3,3,PConc,3,3,0,GLQ,646,468,1114,5,1,1114,0,1114,1,0,1,1,3,1,4,6,Typ,0,0,Detchd,2004.0,Unf,2,576,3,3,Y,0,102,0,0,0,None,0,6,2008,Normal,159000,11.976659481202367,0,1,1,9,0,1,1,1,9,9,1,1,25,4016016.0,<15000,0,-1240996,<600,-1240996,0,1,0,0,0
19,19,20,RL,7560,Pave,None,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,6,1958,1965,Hip,BrkFace,None,0.0,3,3,CBlock,3,3,0,LwQ,504,525,1029,3,1,1339,0,1339,0,0,1,0,3,1,3,6,MinMod,0,0,Attchd,1958.0,Unf,1,294,3,3,Y,0,0,0,0,0,MnPrv,0,5,2009,Abnorml,139000,11.842229212112827,0,1,1,9,0,1,1,1,9,9,1,1,30,3833764.0,<10000,0,-1058841,<300,-1792921,0,0,0,0,0
20,20,60,RL,14215,Pave,None,Lvl,Corner,NridgHt,Norm,1Fam,2Story,8,5,2005,2006,Gable,VinylSd,BrkFace,380.0,4,3,PConc,5,3,2,Unf,0,1158,1158,5,1,1158,1218,2376,0,0,3,1,4,1,4,9,Typ,1,4,BuiltIn,2005.0,RFn,3,853,3,3,Y,240,154,0,0,0,None,0,11,2006,Partial,325300,12.692503112461445,1,1,1,9,4,1,1,1,15,12,1,0,40,4020025.0,<15000,1,-1340964,<900,-5645376,1,1,0,0,0
21,21,45,RM,7449,Pave,Grvl,Bnk,Inside,IDOTRR,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,Wd Sdng,None,0.0,3,3,PConc,3,3,0,Unf,0,637,637,5,1,1108,0,1108,0,0,1,0,3,1,4,6,Typ,1,4,Attchd,1930.0,Unf,1,280,3,3,N,0,0,205,0,0,GdPrv,0,6,2007,Normal,139400,11.84510277730856,0,1,1,9,4,0,1,1,9,9,1,1,49,3724900.0,<10000,0,-405769,<300,-1227664,0,0,1,0,0
22,22,20,RL,9742,Pave,None,Lvl,Inside,CollgCr,Norm,1Fam,1Story,8,5,2002,2002,Hip,VinylSd,BrkFace,281.0,4,3,PConc,4,3,0,Unf,0,1777,1777,5,1,1795,0,1795,0,0,2,0,3,1,4,7,Typ,1,4,Attchd,2002.0,RFn,2,534,3,3,Y,171,159,0,0,0,None,0,9,2008,Normal,230000,12.345834587905333,0,1,1,9,4,1,1,1,12,12,1,1,40,4008004.0,<10000,0,-3157729,<600,-3222025,1,1,0,0,0
23,23,120,RM,4224,Pave,None,Lvl,Inside,MeadowV,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CemntBd,None,0.0,3,3,PConc,4,3,0,GLQ,840,200,1040,3,1,1060,0,1060,1,0,1,0,3,1,3,6,Typ,1,3,Attchd,1976.0,Unf,2,572,3,3,Y,100,110,0,0,0,None,0,6,2007,Normal,129900,11.774520202658689,0,1,1,9,3,1,1,1,12,9,1,1,35,3904576.0,<5000,0,-1081600,<600,-1123600,1,1,0,0,0
24,24,20,RL,8246,Pave,None,Lvl,Inside,Sawyer,Norm,1Fam,1Story,5,8,1968,2001,Gable,Plywood,None,0.0,3,4,CBlock,3,3,1,Rec,188,204,1060,5,1,1060,0,1060,1,0,1,0,3,1,4,6,Typ,1,3,Attchd,1968.0,Unf,1,270,3,3,Y,406,90,0,0,0,MnPrv,0,5,2010,Normal,154000,11.944707881395766,0,1,1,9,3,1,1,1,9,12,1,0,40,3873024.0,<10000,0,-1123600,<300,-1123600,1,1,0,0,0
25,25,20,RL,14230,Pave,None,Lvl,Corner,NridgHt,Norm,1Fam,1Story,8,5,2007,2007,Gable,VinylSd,Stone,640.0,4,3,PConc,4,3,0,Unf,0,1566,1566,5,1,1600,0,1600,0,0,2,0,3,1,4,7,Typ,1,4,Attchd,2007.0,RFn,3,890,3,3,Y,0,56,0,0,0,None,0,7,2009,Normal,256300,12.454103912352162,0,1,1,9,4,1,1,1,12,12,1,1,40,4028049.0,<15000,0,-2452356,<900,-2560000,0,1,0,0,0
26,26,20,RL,7200,Pave,None,Lvl,Corner,NAmes,Norm,1Fam,1Story,5,7,1951,2000,Gable,Wd Sdng,None,0.0,3,3,CBlock,3,3,1,BLQ,234,180,900,3,1,900,0,900,0,1,1,0,3,1,4,5,Typ,0,0,Detchd,2005.0,Unf,2,576,3,3,Y,222,32,0,0,0,None,0,5,2010,Normal,134800,11.811547477460346,0,1,1,9,0,1,1,1,9,9,1,1,35,4020025.0,<10000,0,-810000,<600,-810000,1,1,0,0,0
27,27,20,RL,11478,Pave,None,Lvl,Inside,NridgHt,Norm,1Fam,1Story,8,5,2007,2008,Gable,VinylSd,Stone,200.0,4,3,PConc,5,3,0,GLQ,1218,486,1704,5,1,1704,0,1704,1,0,2,0,3,1,4,7,Typ,1,4,Attchd,2008.0,RFn,3,772,3,3,Y,0,50,0,0,0,None,0,5,2010,Normal,306000,12.631340380934516,0,1,1,9,4,1,1,1,15,12,1,1,40,4032064.0,<15000,0,-2903616,<900,-2903616,0,1,0,0,0
28,28,20,RL,16321,Pave,None,Lvl,CulDSac,NAmes,Norm,1Fam,1Story,5,6,1957,1997,Gable,MetalSd,None,0.0,3,3,CBlock,3,3,3,BLQ,1277,207,1484,3,1,1600,0,1600,1,0,1,0,2,1,3,6,Typ,2,4,Attchd,1957.0,RFn,1,319,3,3,Y,288,258,0,0,0,None,0,12,2006,Normal,207500,12.24288661865289,0,1,1,9,8,1,1,1,9,9,1,0,30,3829849.0,<20000,0,-2202256,<600,-2560000,1,1,0,0,0
29,29,30,RM,6324,Pave,None,Lvl,Inside,BrkSide,Feedr,1Fam,1Story,4,6,1927,1950,Gable,MetalSd,None,0.0,3,3,BrkTil,3,3,0,Unf,0,520,520,2,0,520,0,520,0,0,1,0,1,1,2,4,Typ,0,0,Detchd,1920.0,Unf,1,240,2,3,Y,49,0,87,0,0,None,0,5,2008,Normal,68500,11.134589024250317,0,1,1,6,0,1,1,1,9,9,1,0,24,3686400.0,<10000,0,-270400,<300,-270400,1,0,1,0,0
30,30,70,C (all),8500,Pave,Pave,Lvl,Inside,IDOTRR,Feedr,1Fam,2Story,4,4,1920,1950,Gambrel,BrkFace,None,0.0,3,2,BrkTil,3,3,0,Unf,0,649,649,3,0,649,668,1317,0,0,1,0,3,1,3,6,Typ,0,0,Detchd,1920.0,Unf,1,250,3,2,N,0,54,172,0,0,MnPrv,0,7,2008,Normal,40000,10.596634733096073,0,1,1,6,0,1,1,1,9,6,1,1,16,3686400.0,<10000,1,-421201,<300,-1734489,0,1,1,0,0
31,31,20,RL,8544,Pave,None,Lvl,CulDSac,Sawyer,Norm,1Fam,1Story,5,6,1966,2006,Gable,HdBoard,None,0.0,3,3,CBlock,3,3,0,Unf,0,1228,1228,4,1,1228,0,1228,0,0,1,1,3,1,4,6,Typ,0,0,Attchd,1966.0,Unf,1,271,3,3,Y,0,65,0,0,0,MnPrv,0,6,2008,Normal,149350,11.914047823644257,0,1,1,9,0,1,1,1,9,9,1,0,30,3865156.0,<10000,0,-1507984,<300,-1507984,0,1,0,0,0
32,32,20,RL,11049,Pave,None,Lvl,Corner,CollgCr,Norm,1Fam,1Story,8,5,2007,2007,Gable,VinylSd,None,0.0,4,3,PConc,5,3,2,Unf,0,1234,1234,5,1,1234,0,1234,0,0,2,0,3,1,4,7,Typ,0,0,Attchd,2007.0,RFn,2,484,3,3,Y,0,30,0,0,0,None,0,1,2008,Normal,179900,12.100156419938624,0,1,1,9,0,1,1,1,15,12,1,1,40,4028049.0,<15000,0,-1522756,<600,-1522756,0,1,0,0,0
33,33,20,RL,10552,Pave,None,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,5,1959,1959,Hip,BrkFace,None,0.0,3,3,CBlock,3,3,0,Rec,1018,380,1398,4,1,1700,0,1700,0,1,1,1,4,1,4,6,Typ,1,4,Attchd,1959.0,RFn,2,447,3,3,Y,0,38,0,0,0,None,0,4,2010,Normal,165500,12.016726473799254,0,1,1,9,4,1,1,1,9,9,1,0,25,3837681.0,<15000,0,-1954404,<600,-2890000,0,1,0,0,0
34,34,120,RL,7313,Pave,None,Lvl,Inside,NridgHt,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,MetalSd,BrkFace,246.0,5,3,PConc,5,3,0,GLQ,1153,408,1561,5,1,1561,0,1561,1,0,2,0,2,1,5,6,Typ,1,4,Attchd,2005.0,Fin,2,556,3,3,Y,203,47,0,0,0,None,0,8,2007,Normal,277500,12.533576212168624,0,1,1,9,4,1,1,1,15,15,1,1,45,4020025.0,<10000,0,-2436721,<600,-2436721,1,1,0,0,0
35,35,60,RL,13418,Pave,None,Lvl,Inside,NridgHt,Norm,1Fam,2Story,8,5,2004,2005,Gable,VinylSd,Stone,132.0,4,3,PConc,5,3,2,Unf,0,1117,1117,5,1,1132,1320,2452,0,0,3,1,4,1,4,9,Typ,1,4,BuiltIn,2004.0,Fin,3,691,3,3,Y,113,32,0,0,0,None,0,9,2006,Normal,309000,12.641096555879884,0,1,1,9,4,1,1,1,15,12,1,1,40,4016016.0,<15000,1,-1247689,<900,-6012304,1,1,0,0,0
36,36,20,RL,10859,Pave,None,Lvl,Corner,CollgCr,Norm,1Fam,1Story,5,5,1994,1995,Gable,VinylSd,None,0.0,3,3,PConc,4,3,0,Unf,0,1097,1097,5,1,1097,0,1097,0,0,1,1,3,1,3,6,Typ,0,0,Attchd,1995.0,Unf,2,672,3,3,Y,392,64,0,0,0,None,0,6,2009,Normal,145000,11.884489021402711,0,1,1,9,0,1,1,1,12,9,1,1,25,3980025.0,<15000,0,-1203409,<900,-1203409,1,1,0,0,0
37,37,20,RL,8532,Pave,None,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,6,1954,1990,Hip,Wd Sdng,BrkFace,650.0,3,3,CBlock,3,3,0,Rec,1213,84,1297,4,1,1297,0,1297,0,1,1,0,3,1,3,5,Typ,1,3,Attchd,1954.0,Fin,2,498,3,3,Y,0,0,0,0,0,None,0,10,2009,Normal,153000,11.938193200374572,0,1,1,9,3,1,1,1,9,9,1,1,30,3818116.0,<10000,0,-1682209,<600,-1682209,0,0,0,0,0
38,38,20,RL,7922,Pave,None,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,7,1953,2007,Gable,VinylSd,None,0.0,3,4,CBlock,3,3,0,GLQ,731,326,1057,3,1,1057,0,1057,1,0,1,0,3,1,4,5,Typ,0,0,Detchd,1953.0,Unf,1,246,3,3,Y,0,52,0,0,0,None,0,1,2010,Abnorml,109000,11.599103161211278,0,1,1,9,0,1,1,1,9,12,1,1,35,3814209.0,<10000,0,-1117249,<300,-1117249,0,1,0,0,0
39,39,90,RL,6040,Pave,None,Lvl,Inside,Edwards,Norm,Duplex,1Story,4,5,1955,1955,Gable,AsbShng,None,0.0,3,3,PConc,0,0,0,None,0,0,0,3,0,1152,0,1152,0,0,2,0,2,2,2,6,Typ,0,0,None,0.0,None,0,0,0,0,N,0,0,0,0,0,None,0,6,2008,AdjLand,82000,11.314474526246393,0,1,0,0,0,0,1,0,0,9,1,1,20,0.0,<10000,0,0,0,-1327104,0,0,0,0,0
40,40,20,RL,8658,Pave,None,Lvl,Inside,NAmes,Norm,1Fam,1Story,6,5,1965,1965,Gable,Wd Sdng,BrkFace,101.0,3,3,CBlock,3,3,0,Rec,643,445,1088,5,1,1324,0,1324,0,0,2,0,3,1,3,6,Typ,1,3,Attchd,1965.0,RFn,2,440,3,3,Y,0,138,0,0,0,GdWo,0,12,2006,Abnorml,160000,11.982929094215965,0,1,1,9,3,1,1,1,9,9,1,1,30,3861225.0,<10000,0,-1183744,<600,-1752976,0,1,0,0,0
41,41,20,RL,16905,Pave,None,Lvl,Inside,Timber,Norm,1Fam,1Story,5,6,1959,1959,Gable,VinylSd,None,0.0,3,4,CBlock,3,3,3,BLQ,967,383,1350,4,1,1328,0,1328,0,1,1,1,2,1,3,5,Typ,2,4,Attchd,1959.0,RFn,1,308,3,3,P,0,104,0,0,0,None,0,7,2007,Normal,170000,12.0435537160324,0,1,1,9,8,1,1,1,9,12,1,1,30,3837681.0,<20000,0,-1822500,<600,-1763584,0,1,0,0,0
42,42,85,RL,9180,Pave,None,Lvl,CulDSac,SawyerW,Norm,1Fam,SFoyer,5,7,1983,1983,Gable,HdBoard,None,0.0,3,3,CBlock,4,3,2,ALQ,747,0,840,4,1,884,0,884,1,0,1,0,2,1,4,5,Typ,0,0,Attchd,1983.0,RFn,2,504,3,4,Y,240,0,0,0,0,MnPrv,0,12,2007,Normal,144000,11.877568578558137,0,1,1,12,0,1,1,1,12,9,1,0,35,3932289.0,<10000,0,-705600,<600,-781456,1,0,0,0,0
43,43,20,RL,9200,Pave,None,Lvl,CulDSac,CollgCr,Norm,1Fam,1Story,5,6,1975,1980,Hip,VinylSd,None,0.0,3,3,CBlock,4,3,2,LwQ,280,167,938,3,1,938,0,938,1,0,1,0,3,1,3,5,Typ,0,0,Detchd,1977.0,Unf,1,308,3,3,Y,145,0,0,0,0,MnPrv,0,7,2008,Normal,130250,11.777210959615614,0,1,1,9,0,1,1,1,12,9,1,0,30,3908529.0,<10000,0,-879844,<600,-879844,1,0,0,0,0
44,44,20,RL,7945,Pave,None,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,6,1959,1959,Gable,BrkFace,None,0.0,3,3,CBlock,3,3,0,ALQ,179,465,1150,5,1,1150,0,1150,1,0,1,0,3,1,3,6,Typ,0,0,Attchd,1959.0,RFn,1,300,3,3,Y,0,0,0,0,0,None,0,5,2006,Normal,141000,11.856515169360303,0,1,1,9,0,0,1,1,9,9,1,1,30,3837681.0,<10000,0,-1322500,<600,-1322500,0,0,0,0,0
45,45,120,RL,7658,Pave,None,Lvl,Inside,NridgHt,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,MetalSd,BrkFace,412.0,5,3,PConc,5,3,0,GLQ,456,1296,1752,5,1,1752,0,1752,1,0,2,0,2,1,5,6,Typ,1,4,Attchd,2005.0,RFn,2,576,3,3,Y,196,82,0,0,0,None,0,2,2010,Normal,319900,12.675763725937607,0,1,1,9,4,1,1,1,15,15,1,1,45,4020025.0,<10000,0,-3069504,<600,-3069504,1,1,0,0,0
46,46,50,RL,12822,Pave,None,Lvl,CulDSac,Mitchel,Norm,1Fam,1.5Fin,7,5,2003,2003,Gable,VinylSd,None,0.0,4,3,PConc,5,3,0,GLQ,1351,83,1434,5,1,1518,631,2149,1,0,1,1,1,1,4,6,Typ,1,5,Attchd,2003.0,RFn,2,670,3,3,Y,168,43,0,0,198,None,0,8,2009,Abnorml,239686,12.3870850123755,0,1,1,9,5,1,1,1,15,12,1,0,35,4012009.0,<15000,1,-2056356,<900,-4618201,1,1,0,0,1
47,47,20,FV,11096,Pave,None,Lvl,Inside,Somerst,Norm,1Fam,1Story,8,5,2006,2006,Gable,VinylSd,None,0.0,4,3,PConc,4,3,2,GLQ,24,1632,1656,5,1,1656,0,1656,0,0,2,0,3,1,4,7,Typ,0,0,Attchd,2006.0,RFn,3,826,3,3,Y,0,146,0,0,0,None,0,7,2007,Normal,249700,12.428015476267865,0,1,1,9,0,1,1,1,12,12,1,1,40,4024036.0,<15000,0,-2742336,<900,-2742336,0,1,0,0,0
48,48,190,RM,4456,Pave,None,Lvl,Inside,OldTown,Norm,2fmCon,2Story,4,5,1920,2008,Gable,MetalSd,None,0.0,3,3,BrkTil,3,3,0,Unf,0,736,736,4,1,736,716,1452,0,0,2,0,2,3,3,8,Typ,0,0,None,0.0,None,0,0,0,0,N,0,0,102,0,0,None,0,6,2009,Partial,113000,11.635143097694476,1,1,0,0,0,1,1,1,9,9,1,1,20,0.0,<5000,1,-541696,0,-2108304,0,0,1,0,0
