,MSSubClass,MSZoning,LotArea,Street,Alley,LandContour,LotConfig,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,Fence,MiscVal,MoSold,YrSold,SaleCondition,SalePrice,LogSale,SaleTypeNew,PoolQCNon,HasGarage,GarageCond*GarageQual,Fireplaces*FireplaceQu,ElectricalSBr,HeatingGas,HasBasement,BsmtCond*BsmtQual,ExterCond*ExterQual,LandSlopeGtl,LotShapeReg,OverallQual*OverallCond
20,60,RL,14215,Pave,None,Lvl,Corner,NridgHt,Norm,1Fam,2Story,8,5,2005,2006,Gable,VinylSd,BrkFace,380.0,4,3,PConc,5,3,2,Unf,0,0,1158,1158,5,1,1158,1218,0,2376,0,0,3,1,4,1,4,9,Typ,1,4,BuiltIn,2005.0,RFn,3,853,3,3,Y,240,154,0,0,0,0,None,0,11,2006,Partial,325300,12.692503112461443,1,1,1,9,4,1,1,1,15,12,1,0,40
21,45,RM,7449,Pave,Grvl,Bnk,Inside,IDOTRR,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,Wd Sdng,None,0.0,3,3,PConc,3,3,0,Unf,0,0,637,637,5,1,1108,0,0,1108,0,0,1,0,3,1,4,6,Typ,1,4,Attchd,1930.0,Unf,1,280,3,3,N,0,0,205,0,0,0,GdPrv,0,6,2007,Normal,139400,11.845102777308561,0,1,1,9,4,0,1,1,9,9,1,1,49
22,20,RL,9742,Pave,None,Lvl,Inside,CollgCr,Norm,1Fam,1Story,8,5,2002,2002,Hip,VinylSd,BrkFace,281.0,4,3,PConc,4,3,0,Unf,0,0,1777,1777,5,1,1795,0,0,1795,0,0,2,0,3,1,4,7,Typ,1,4,Attchd,2002.0,RFn,2,534,3,3,Y,171,159,0,0,0,0,None,0,9,2008,Normal,230000,12.345834587905333,0,1,1,9,4,1,1,1,12,12,1,1,40
23,120,RM,4224,Pave,None,Lvl,Inside,MeadowV,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CemntBd,None,0.0,3,3,PConc,4,3,0,GLQ,840,0,200,1040,3,1,1060,0,0,1060,1,0,1,0,3,1,3,6,Typ,1,3,Attchd,1976.0,Unf,2,572,3,3,Y,100,110,0,0,0,0,None,0,6,2007,Normal,129900,11.77452020265869,0,1,1,9,3,1,1,1,12,9,1,1,35
24,20,RL,8246,Pave,None,Lvl,Inside,Sawyer,Norm,1Fam,1Story,5,8,1968,2001,Gable,Plywood,None,0.0,3,4,CBlock,3,3,1,Rec,188,668,204,1060,5,1,1060,0,0,1060,1,0,1,0,3,1,4,6,Typ,1,3,Attchd,1968.0,Unf,1,270,3,3,Y,406,90,0,0,0,0,MnPrv,0,5,2010,Normal,154000,11.944707881395766,0,1,1,9,3,1,1,1,9,12,1,0,40
25,20,RL,14230,Pave,None,Lvl,Corner,NridgHt,Norm,1Fam,1Story,8,5,2007,2007,Gable,VinylSd,Stone,640.0,4,3,PConc,4,3,0,Unf,0,0,1566,1566,5,1,1600,0,0,1600,0,0,2,0,3,1,4,7,Typ,1,4,Attchd,2007.0,RFn,3,890,3,3,Y,0,56,0,0,0,0,None,0,7,2009,Normal,256300,12.454103912352162,0,1,1,9,4,1,1,1,12,12,1,1,40
26,20,RL,7200,Pave,None,Lvl,Corner,NAmes,Norm,1Fam,1Story,5,7,1951,2000,Gable,Wd Sdng,None,0.0,3,3,CBlock,3,3,1,BLQ,234,486,180,900,3,1,900,0,0,900,0,1,1,0,3,1,4,5,Typ,0,0,Detchd,2005.0,Unf,2,576,3,3,Y,222,32,0,0,0,0,None,0,5,2010,Normal,134800,11.811547477460344,0,1,1,9,0,1,1,1,9,9,1,1,35
27,20,RL,11478,Pave,None,Lvl,Inside,NridgHt,Norm,1Fam,1Story,8,5,2007,2008,Gable,VinylSd,Stone,200.0,4,3,PConc,5,3,0,GLQ,1218,0,486,1704,5,1,1704,0,0,1704,1,0,2,0,3,1,4,7,Typ,1,4,Attchd,2008.0,RFn,3,772,3,3,Y,0,50,0,0,0,0,None,0,5,2010,Normal,306000,12.631340380934517,0,1,1,9,4,1,1,1,15,12,1,1,40
28,20,RL,16321,Pave,None,Lvl,CulDSac,NAmes,Norm,1Fam,1Story,5,6,1957,1997,Gable,MetalSd,None,0.0,3,3,CBlock,3,3,3,BLQ,1277,0,207,1484,3,1,1600,0,0,1600,1,0,1,0,2,1,3,6,Typ,2,4,Attchd,1957.0,RFn,1,319,3,3,Y,288,258,0,0,0,0,None,0,12,2006,Normal,207500,12.24288661865289,0,1,1,9,8,1,1,1,9,9,1,0,30
29,30,RM,6324,Pave,None,Lvl,Inside,BrkSide,Feedr,1Fam,1Story,4,6,1927,1950,Gable,MetalSd,None,0.0,3,3,BrkTil,3,3,0,Unf,0,0,520,520,2,0,520,0,0,520,0,0,1,0,1,1,2,4,Typ,0,0,Detchd,1920.0,Unf,1,240,2,3,Y,49,0,87,0,0,0,None,0,5,2008,Normal,68500,11.134589024250317,0,1,1,6,0,1,1,1,9,9,1,0,24
30,70,C (all),8500,Pave,Pave,Lvl,Inside,IDOTRR,Feedr,1Fam,2Story,4,4,1920,1950,Gambrel,BrkFace,None,0.0,3,2,BrkTil,3,3,0,Unf,0,0,649,649,3,0,649,668,0,1317,0,0,1,0,3,1,3,6,Typ,0,0,Detchd,1920.0,Unf,1,250,3,2,N,0,54,172,0,0,0,MnPrv,0,7,2008,Normal,40000,10.596634733096073,0,1,1,6,0,1,1,1,9,6,1,1,16
31,20,RL,8544,Pave,None,Lvl,CulDSac,Sawyer,Norm,1Fam,1Story,5,6,1966,2006,Gable,HdBoard,None,0.0,3,3,CBlock,3,3,0,Unf,0,0,1228,1228,4,1,1228,0,0,1228,0,0,1,1,3,1,4,6,Typ,0,0,Attchd,1966.0,Unf,1,271,3,3,Y,0,65,0,0,0,0,MnPrv,0,6,2008,Normal,149350,11.914047823644255,0,1,1,9,0,1,1,1,9,9,1,0,30
32,20,RL,11049,Pave,None,Lvl,Corner,CollgCr,Norm,1Fam,1Story,8,5,2007,2007,Gable,VinylSd,None,0.0,4,3,PConc,5,3,2,Unf,0,0,1234,1234,5,1,1234,0,0,1234,0,0,2,0,3,1,4,7,Typ,0,0,Attchd,2007.0,RFn,2,484,3,3,Y,0,30,0,0,0,0,None,0,1,2008,Normal,179900,12.100156419938624,0,1,1,9,0,1,1,1,15,12,1,1,40
33,20,RL,10552,Pave,None,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,5,1959,1959,Hip,BrkFace,None,0.0,3,3,CBlock,3,3,0,Rec,1018,0,380,1398,4,1,1700,0,0,1700,0,1,1,1,4,1,4,6,Typ,1,4,Attchd,1959.0,RFn,2,447,3,3,Y,0,38,0,0,0,0,None,0,4,2010,Normal,165500,12.016726473799254,0,1,1,9,4,1,1,1,9,9,1,0,25
34,120,RL,7313,Pave,None,Lvl,Inside,NridgHt,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,MetalSd,BrkFace,246.0,5,3,PConc,5,3,0,GLQ,1153,0,408,1561,5,1,1561,0,0,1561,1,0,2,0,2,1,5,6,Typ,1,4,Attchd,2005.0,Fin,2,556,3,3,Y,203,47,0,0,0,0,None,0,8,2007,Normal,277500,12.533576212168626,0,1,1,9,4,1,1,1,15,15,1,1,45
35,60,RL,13418,Pave,None,Lvl,Inside,NridgHt,Norm,1Fam,2Story,8,5,2004,2005,Gable,VinylSd,Stone,132.0,4,3,PConc,5,3,2,Unf,0,0,1117,1117,5,1,1132,1320,0,2452,0,0,3,1,4,1,4,9,Typ,1,4,BuiltIn,2004.0,Fin,3,691,3,3,Y,113,32,0,0,0,0,None,0,9,2006,Normal,309000,12.641096555879882,0,1,1,9,4,1,1,1,15,12,1,1,40
36,20,RL,10859,Pave,None,Lvl,Corner,CollgCr,Norm,1Fam,1Story,5,5,1994,1995,Gable,VinylSd,None,0.0,3,3,PConc,4,3,0,Unf,0,0,1097,1097,5,1,1097,0,0,1097,0,0,1,1,3,1,3,6,Typ,0,0,Attchd,1995.0,Unf,2,672,3,3,Y,392,64,0,0,0,0,None,0,6,2009,Normal,145000,11.884489021402711,0,1,1,9,0,1,1,1,12,9,1,1,25
37,20,RL,8532,Pave,None,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,6,1954,1990,Hip,Wd Sdng,BrkFace,650.0,3,3,CBlock,3,3,0,Rec,1213,0,84,1297,4,1,1297,0,0,1297,0,1,1,0,3,1,3,5,Typ,1,3,Attchd,1954.0,Fin,2,498,3,3,Y,0,0,0,0,0,0,None,0,10,2009,Normal,153000,11.938193200374572,0,1,1,9,3,1,1,1,9,9,1,1,30
38,20,RL,7922,Pave,None,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,7,1953,2007,Gable,VinylSd,None,0.0,3,4,CBlock,3,3,0,GLQ,731,0,326,1057,3,1,1057,0,0,1057,1,0,1,0,3,1,4,5,Typ,0,0,Detchd,1953.0,Unf,1,246,3,3,Y,0,52,0,0,0,0,None,0,1,2010,Abnorml,109000,11.59910316121128,0,1,1,9,0,1,1,1,9,12,1,1,35
39,90,RL,6040,Pave,None,Lvl,Inside,Edwards,Norm,Duplex,1Story,4,5,1955,1955,Gable,AsbShng,None,0.0,3,3,PConc,0,0,0,None,0,0,0,0,3,0,1152,0,0,1152,0,0,2,0,2,2,2,6,Typ,0,0,None,0.0,None,0,0,0,0,N,0,0,0,0,0,0,None,0,6,2008,AdjLand,82000,11.314474526246391,0,1,0,0,0,0,1,0,0,9,1,1,20
40,20,RL,8658,Pave,None,Lvl,Inside,NAmes,Norm,1Fam,1Story,6,5,1965,1965,Gable,Wd Sdng,BrkFace,101.0,3,3,CBlock,3,3,0,Rec,643,0,445,1088,5,1,1324,0,0,1324,0,0,2,0,3,1,3,6,Typ,1,3,Attchd,1965.0,RFn,2,440,3,3,Y,0,138,0,0,0,0,GdWo,0,12,2006,Abnorml,160000,11.982929094215963,0,1,1,9,3,1,1,1,9,9,1,1,30
41,20,RL,16905,Pave,None,Lvl,Inside,Timber,Norm,1Fam,1Story,5,6,1959,1959,Gable,VinylSd,None,0.0,3,4,CBlock,3,3,3,BLQ,967,0,383,1350,4,1,1328,0,0,1328,0,1,1,1,2,1,3,5,Typ,2,4,Attchd,1959.0,RFn,1,308,3,3,P,0,104,0,0,0,0,None,0,7,2007,Normal,170000,12.043553716032399,0,1,1,9,8,1,1,1,9,12,1,1,30
42,85,RL,9180,Pave,None,Lvl,CulDSac,SawyerW,Norm,1Fam,SFoyer,5,7,1983,1983,Gable,HdBoard,None,0.0,3,3,CBlock,4,3,2,ALQ,747,93,0,840,4,1,884,0,0,884,1,0,1,0,2,1,4,5,Typ,0,0,Attchd,1983.0,RFn,2,504,3,4,Y,240,0,0,0,0,0,MnPrv,0,12,2007,Normal,144000,11.877568578558138,0,1,1,12,0,1,1,1,12,9,1,0,35
43,20,RL,9200,Pave,None,Lvl,CulDSac,CollgCr,Norm,1Fam,1Story,5,6,1975,1980,Hip,VinylSd,None,0.0,3,3,CBlock,4,3,2,LwQ,280,491,167,938,3,1,938,0,0,938,1,0,1,0,3,1,3,5,Typ,0,0,Detchd,1977.0,Unf,1,308,3,3,Y,145,0,0,0,0,0,MnPrv,0,7,2008,Normal,130250,11.777210959615614,0,1,1,9,0,1,1,1,12,9,1,0,30
44,20,RL,7945,Pave,None,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,6,1959,1959,Gable,BrkFace,None,0.0,3,3,CBlock,3,3,0,ALQ,179,506,465,1150,5,1,1150,0,0,1150,1,0,1,0,3,1,3,6,Typ,0,0,Attchd,1959.0,RFn,1,300,3,3,Y,0,0,0,0,0,0,None,0,5,2006,Normal,141000,11.856515169360305,0,1,1,9,0,0,1,1,9,9,1,1,30
45,120,RL,7658,Pave,None,Lvl,Inside,NridgHt,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,MetalSd,BrkFace,412.0,5,3,PConc,5,3,0,GLQ,456,0,1296,1752,5,1,1752,0,0,1752,1,0,2,0,2,1,5,6,Typ,1,4,Attchd,2005.0,RFn,2,576,3,3,Y,196,82,0,0,0,0,None,0,2,2010,Normal,319900,12.675763725937609,0,1,1,9,4,1,1,1,15,15,1,1,45
46,50,RL,12822,Pave,None,Lvl,CulDSac,Mitchel,Norm,1Fam,1.5Fin,7,5,2003,2003,Gable,VinylSd,None,0.0,4,3,PConc,5,3,0,GLQ,1351,0,83,1434,5,1,1518,631,0,2149,1,0,1,1,1,1,4,6,Typ,1,5,Attchd,2003.0,RFn,2,670,3,3,Y,168,43,0,0,198,0,None,0,8,2009,Abnorml,239686,12.387085012375499,0,1,1,9,5,1,1,1,15,12,1,0,35
47,20,FV,11096,Pave,None,Lvl,Inside,Somerst,Norm,1Fam,1Story,8,5,2006,2006,Gable,VinylSd,None,0.0,4,3,PConc,4,3,2,GLQ,24,0,1632,1656,5,1,1656,0,0,1656,0,0,2,0,3,1,4,7,Typ,0,0,Attchd,2006.0,RFn,3,826,3,3,Y,0,146,0,0,0,0,None,0,7,2007,Normal,249700,12.428015476267865,0,1,1,9,0,1,1,1,12,12,1,1,40
48,190,RM,4456,Pave,None,Lvl,Inside,OldTown,Norm,2fmCon,2Story,4,5,1920,2008,Gable,MetalSd,None,0.0,3,3,BrkTil,3,3,0,Unf,0,0,736,736,4,1,736,716,0,1452,0,0,2,0,2,3,3,8,Typ,0,0,None,0.0,None,0,0,0,0,N,0,0,102,0,0,0,None,0,6,2009,Partial,113000,11.635143097694478,1,1,0,0,0,1,1,1,9,9,1,1,20
49,20,RL,7742,Pave,None,Lvl,Inside,Sawyer,Norm,1Fam,1Story,5,7,1966,1966,Gable,HdBoard,None,0.0,3,3,CBlock,3,3,0,BLQ,763,0,192,955,5,1,955,0,0,955,1,0,1,0,3,1,3,6,Typ,0,0,Attchd,1966.0,Unf,1,386,3,3,Y,0,0,0,0,0,0,MnPrv,0,1,2007,Normal,127000,11.751942365440728,0,1,1,9,0,1,1,1,9,9,1,1,35
50,60,RL,13869,Pave,None,Lvl,Corner,Gilbert,Norm,1Fam,2Story,6,6,1997,1997,Gable,VinylSd,None,0.0,3,3,PConc,4,3,2,GLQ,182,0,612,794,4,1,794,676,0,1470,0,1,2,0,3,1,3,6,Typ,0,0,Attchd,1997.0,Fin,2,388,3,3,Y,0,75,0,0,0,0,None,0,7,2007,Normal,177000,12.083905011555967,0,1,1,9,0,1,1,1,12,9,1,0,36
51,50,RM,6240,Pave,None,Lvl,Inside,BrkSide,Norm,1Fam,1.5Fin,6,6,1934,1950,Gable,Wd Sdng,None,0.0,3,3,PConc,3,3,0,Unf,0,0,816,816,3,1,816,0,360,1176,0,0,1,0,3,1,3,6,Typ,1,4,Detchd,1985.0,Unf,2,528,3,3,Y,112,0,0,0,0,0,MnPrv,400,9,2006,Normal,114500,11.648330101976432,0,1,1,9,4,1,1,1,9,9,1,1,36
52,90,RM,8472,Grvl,None,Bnk,Corner,IDOTRR,RR,Duplex,1Story,5,5,1963,1963,Gable,Wd Sdng,None,0.0,2,3,CBlock,4,3,3,LwQ,104,712,0,816,3,0,816,0,0,816,1,0,1,0,2,1,3,5,Typ,0,0,CarPort,1963.0,Unf,2,516,3,3,Y,106,0,0,0,0,0,None,0,5,2010,Normal,110000,11.608235644774552,0,1,1,9,0,1,1,1,12,6,0,0,25
53,20,RL,50271,Pave,None,Low,Inside,Veenker,Norm,1Fam,1Story,9,5,1981,1987,Gable,WdShing,None,0.0,4,3,CBlock,5,3,3,GLQ,1810,0,32,1842,4,1,1842,0,0,1842,2,0,0,1,0,1,4,5,Typ,1,4,Attchd,1981.0,Fin,3,894,3,3,Y,857,72,0,0,0,0,None,0,11,2006,Normal,385000,12.86099861326992,0,1,1,9,4,1,1,1,15,12,1,0,45
54,80,RL,7134,Pave,None,Bnk,Inside,NAmes,Norm,1Fam,SLvl,5,5,1955,1955,Gable,MetalSd,None,0.0,3,3,CBlock,3,3,0,ALQ,384,0,0,384,3,1,1360,0,0,1360,0,0,1,0,3,1,3,6,MinMod,1,3,Detchd,1962.0,Unf,2,572,3,3,Y,0,50,0,0,0,0,MnPrv,0,2,2007,Normal,130000,11.77528972943772,0,1,1,9,3,1,1,1,9,9,0,1,25
55,20,RL,10175,Pave,None,Lvl,Inside,NAmes,Norm,1Fam,1Story,6,5,1964,1964,Gable,HdBoard,BrkFace,272.0,3,3,CBlock,3,3,0,BLQ,490,0,935,1425,4,1,1425,0,0,1425,0,0,2,0,3,1,3,7,Typ,1,4,Attchd,1964.0,RFn,2,576,3,3,Y,0,0,0,407,0,0,None,0,7,2008,Normal,180500,12.103486056755072,0,1,1,9,4,1,1,1,9,9,1,0,30
